pattern,meaning_cn,core_usage,example,source_scope,source_type,difficulty,confusable_with,notes
～はもちろん/～はもとより,当然,当然,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第226项
～反面/～半面,相反,相反,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第227项
へ,方向,方向,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第228项
～べき/～べきだ/～べきではない,义务,义务,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第229项
～ほうがいい,忠告、建议,忠告、建议,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第230项
～ほかない/～よりほかない/～ほかはない/～よりほかはない/～ほかしかたがない,限定,限定,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第231项
～ほど,概数；程度,概数；程度,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第232项
～ほど～ない,比较,比较,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第233项
～まい/～まいか,推测,推测,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第234项
～ます,礼貌体全国大学日语四、六级考试大纲,礼貌体全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第235项
～まえに,时间基准,时间基准,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第236项
まで,终点,终点,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第237项
～まで,程度,程度,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第238项
～まま,状态的放置,状态的放置,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第239项
～みたい,比喻；例示；委婉断定,比喻；例示；委婉断定,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第240项
も,主题；兼提；并列,主题；兼提；并列,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第241项
～も～ば～も/～も～なら～も,并列；列举,并列；列举,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第242项
～もの,形式名词,形式名词,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第243项
～ものか,否定；意志,否定；意志,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第244项
～ものだ,感慨；回忆,感慨；回忆,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第245项
～ものだ/～ものではない,劝告,劝告,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第246项
～ものだから,原因，理由,原因，理由,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第247项
～ものなら,假定条件,假定条件,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第248项
～ものの,转折,转折,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第249项
や,列举,列举,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第250项
～やすい／～にくい,难易程度,难易程度,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第251项
～やら～やら,举例性并列,举例性并列,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第252项
～よ,断定；主张；叮咛,断定；主张；叮咛,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第253项
～ようがない/～ようもない,不可能,不可能,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第254项
～ようだ,比喻；例示；委婉断定,比喻；例示；委婉断定,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第255项
～ようにする,目的；劝告,目的；劝告,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第256项
～ようになる,变化过程全国大学日语四、六级考试大纲,变化过程全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第257项
より,比较,比较,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第258项
～より～ほうが,比较，更,比较，更,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第259项
～よりほかない,强调唯一,强调唯一,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第260项
～らしい,推测,推测,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第261项
～（ら）れる,被动；可能；尊敬；自发,被动；可能；尊敬；自发,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第262项
～わ,（女性用语）主张，感叹,（女性用语）主张，感叹,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第263项
～わけがない/～わけはない,无理由，不可能,无理由，不可能,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第264项
～わけだ/～わけではない/～わけでもない,结论；理由；强调事实,结论；理由；强调事实,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第265项
～わけではない,否定判断,否定判断,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第266项
～わけにはいかない,不可能,不可能,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第267项
～わりに～わりには,超出预想、超出常识,超出预想、超出常识,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第268项
を,宾语；经由场所；离去地点,宾语；经由场所；离去地点,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第269项
～を～として/～を～とする/～を～とした,立场、资格、名目、用途,立场、资格、名目、用途,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第270项
～をきっかけに/～をきっかけとして/～をきっかけにして,契机、机会,契机、机会,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第271项
～を中心に/～を中心として/～を中心にして,事物、场所、行为等的中心,事物、场所、行为等的中心,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第272项
～を通じて/～を通して,中介、手段、过程,中介、手段、过程,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第273项
～を問わず/～は問わず,不区分；不作为问题,不区分；不作为问题,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第274项
～をはじめ/～をはじめとする,代表全国大学日语四、六级考试大纲,代表全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第275项
～をもとに/～をもとにして,依据,依据,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第276项
